"fdd_ingredient","orig_food_common_name","score","method","food_id","food_public_id","food_name","orig_food_id","food_V2_ID"
"Pumpkin, canned/cooked","pumpkin canned",0.934423378365051,"tfidf",66,"FOOD00066","Cucurbita","0062",654
"Wine, table, white","wine table white",1,"tfidf",949,"FOOD00917","White wine","",9447
"Beans, green/snap, canned/cooked","beans snap green raw",0.861386445715613,"tfidf",134,"FOOD00134","Common bean","11052",1044
"Molasses","molasses",1,"tfidf",811,"FOOD00786","Molasses","19304",7873
"Milk, 1% fat, evaporated","evaporated milk",0.951942223897147,"tfidf",824,"FOOD00798","Evaporated milk","",9853
"Breadfruit, canned/cooked","breadfruit",0.863606487535484,"tfidf",312,"FOOD00309","Breadfruit","128",148
"Fat, animal, turkey","fat turkey",0.612534579408334,"tfidf",704,"FOOD00682","Other animal fat","04575",6800
"Flavorings, vanilla extract","vanilla extract",0.718622083679763,"tfidf",195,"FOOD00195","Vanilla","02050",1546
"Blueberries, raw/frozen","blueberries frozen",0.930497067830722,"tfidf",191,"FOOD00191","Highbush blueberry","",9108
"Beans, black, mature, raw (consumed cooked/heat-treated)","beans black mature seeds raw",0.594576439393518,"tfidf",134,"FOOD00134","Common bean","16014",1075
"Ginger root, raw","ginger root raw",1,"tfidf",206,"FOOD00206","Ginger","0667",1664
"Raspberries, raw/frozen","raspberry frozen",0.938883852109257,"tfidf",160,"FOOD00160","Rubus (Blackberry, Raspberry)","1554",1328
"Watercress, cooked","watercress",0.944137712599099,"tfidf",158,"FOOD00158","Watercress","",9572
"Egg, whole, cooked","egg whole cooked fried",0.805881275500143,"tfidf",633,"FOOD00619","Eggs","01128",4856
"Boysenberries, raw/frozen","boysenberry",0.861218040202955,"tfidf",556,"FOOD00542","Boysenberry","",9767
"Cheese, camembert","cheese camembert",1,"tfidf",631,"FOOD00617","Cheese","01007",4737
"Milk, buttermilk, whole, dried","milk buttermilk dried",0.899958181993364,"tfidf",714,"FOOD00692","Buttermilk","01094",6862
"Ginger root, cooked","ginger root raw",0.929213890645635,"tfidf",206,"FOOD00206","Ginger","0667",1664
"Peaches, yellow, cooked","peaches yellow raw",0.8917849044453,"tfidf",149,"FOOD00149","Peach","",9393
"Blackberries, canned/cooked (blackberries only)","blackberry",0.947713374288674,"tfidf",160,"FOOD00160","Rubus (Blackberry, Raspberry)","80",8354
"Sweet potatoes, canned/cooked","sweet potato",0.830160502087371,"tfidf",92,"FOOD00092","Sweet potato","501",64
"Pineapple, cooked","pineapple",0.904230407273086,"tfidf",12,"FOOD00012","Pineapple","74",5
"Persimmons, dried","persimmon",0.846316980065154,"tfidf",73,"FOOD00073","Japanese persimmon","1177",8684
"Peppers, sweet/bell, cooked","bell pepper",0.841734203206203,"tfidf",40,"FOOD00040","Pepper","207",26
"Okra, canned/cooked","okra",0.85998881033267,"tfidf",427,"FOOD00420","Okra","1",184
"Garlic, raw","garlic raw",1,"tfidf",8,"FOOD00008","Garlic","0089",247
"Beans, mungo, mature, cooked","mungo beans mature seeds raw",0.870412563053625,"tfidf",199,"FOOD00199","Gram bean","16083",1561
"Frog legs, cooked","frog legs raw",0.934870030547593,"tfidf",592,"FOOD00578","True frog","80200",4553
"Grape leaves, canned/cooked","grape leaves canned",0.950818747365723,"tfidf",374,"FOOD00369","Grape","11975",2591
"Beans, navy, mature, canned/cooked","beans navy mature seeds canned",0.897030878748581,"tfidf",134,"FOOD00134","Common bean","16039",1097
"Kumquats, raw","kumquats raw",1,"tfidf",398,"FOOD00393","Kumquat","0636",2664
"Mollusks, oysters, canned/cooked","mollusks oyster eastern canned",0.756904301976362,"tfidf",361,"FOOD00356","Eastern oyster","15170",2551
"Asparagus, cooked","asparagus",0.915690506824781,"tfidf",21,"FOOD00021","Asparagus","137",14
"Milk, buttermilk, 1% fat, dried","milk buttermilk dried",0.951324104702129,"tfidf",714,"FOOD00692","Buttermilk","01094",6862
"Peaches, raw/frozen/canned (peaches only)","peach canned",0.901424784104314,"tfidf",149,"FOOD00149","Peach","0050",1253
"Pumpkin, canned","pumpkin canned",1,"tfidf",66,"FOOD00066","Cucurbita","0062",654
"Lotus root, cooked","lotus root raw",0.929213890645635,"tfidf",407,"FOOD00402","Sacred lotus","11254",2687
"Flour, peanut","peanut flour low fat",0.806847169546857,"tfidf",16,"FOOD00016","Peanut","16100",309
"Juice, mango","mango",0.869815871510509,"tfidf",106,"FOOD00106","Mango","600",74
"Figs, canned/cooked (figs only)","fig",0.95279263284039,"tfidf",81,"FOOD00081","Fig","",9538
"Beet greens, raw","beet greens raw",1,"tfidf",25,"FOOD00025","Common beet","11086",360
"Flour, wheat, whole grain","wheat flour whole grain",1,"tfidf",575,"FOOD00561","Wheat","20080",4500
"Parsley, canned/cooked","parsley",0.856686369335769,"tfidf",131,"FOOD00131","Parsley","712",89
"Papayas, cooked","papaya",0.936422837654091,"tfidf",41,"FOOD00041","Papaya","209",27
"Cabbage, canned/cooked","cabbage cooked",0.876854829967398,"tfidf",881,"FOOD00851","Cabbage","",9089
"Fish, salmon, canned","salmon canned",0.842097084227988,"tfidf",504,"FOOD00493","Salmonidae (Salmon, Trout)","0136",2915
"Flour, corn, whole grain","corn flour whole grain white",0.925442254361412,"tfidf",205,"FOOD00205","Corn","20316",1646
"Fish, snapper, raw","fish snapper mixed species raw",0.792564049766958,"tfidf",487,"FOOD00477","Snapper","15101",2875
"Garlic, canned/cooked","garlic",0.822970581350463,"tfidf",880,"FOOD00850","Soft-necked garlic","54",216
"Salsify, cooked","salsify",0.938087828956234,"tfidf",467,"FOOD00457","Common salsify","1019",195
"Beans, pinto, mature, canned","beans pinto mature seeds raw",0.830076202197653,"tfidf",134,"FOOD00134","Common bean","16042",1100
"Rutabagas, raw","rutabagas raw",1,"tfidf",28,"FOOD00028","Swede","11435",378
"Fish, tilapia, cooked","fish tilapia raw",0.92330486267353,"tfidf",723,"FOOD00699","Cichlidae (Tilapia)","15261",6911
"Grapes, canned/cooked (grapes only)","grape",0.927223503330841,"tfidf",374,"FOOD00369","Grape","",9547
"Apricots, dried","apricot dried",1,"tfidf",144,"FOOD00144","Apricot","0001",1187
"Spices, coriander (cilantro) leaf, dried","coriander cilantro leaves raw",0.842743444548772,"tfidf",61,"FOOD00061","Coriander","11165",630
"Cheese, colby","cheese colby",1,"tfidf",631,"FOOD00617","Cheese","01011",4741
"Spinach, dehydrated","spinach",0.682865520248472,"tfidf",178,"FOOD00178","Spinach","957",124
"Fish, pollock, cooked","fish pollock raw",0.908030500808862,"tfidf",524,"FOOD00513","Pollock","",9424
"Fish, sturgeon, smoked","fish sturgeon mixed species smoked",0.818343645206054,"tfidf",494,"FOOD00483","Greater sturgeon","15106",2886
"Carrots, canned/cooked","carrot canned",0.927881510626626,"tfidf",245,"FOOD00245","Carrot","0684",713
"Broccoli, raw","raw broccoli",1,"tfidf",34,"FOOD00034","Broccoli","",9086
"Plums, raw","plums raw",1,"tfidf",147,"FOOD00147","European plum","09279",1225
"Bananas, cooked","banana",0.896630936471668,"tfidf",444,"FOOD00436","French plantain","645",189
"Flour, carob","carob flour",1,"tfidf",326,"FOOD00321","Carob","16055",2457
"Cheese, gouda/edam","cheese gouda",0.739918479128701,"tfidf",631,"FOOD00617","Cheese","01022",4752
"Raspberries, canned/cooked (raspberries only)","raspberry",0.941054464701074,"tfidf",162,"FOOD00162","Red raspberry","878",114
"Crustaceans, shrimp, canned","crustaceans shrimp raw",0.896533580203958,"tfidf",546,"FOOD00533","Shrimp","",9426
"Seaweed, wakame, raw","seaweed wakame raw",1,"tfidf",564,"FOOD00550","Wakame","11669",4474
"Spirulina","spirulina",1,"tfidf",490,"FOOD00480","Spirulina","2202",198
"Syrup, sorghum","syrups sorghum",1,"tfidf",695,"FOOD00673","Syrup","19355",6687
"Whey, fluid","whey sweet fluid",0.897444887225647,"tfidf",679,"FOOD00658","Whey","0515",5712
"Collards, canned","collards raw",0.858332360604804,"tfidf",247,"FOOD00247","Black cabbage","11161",1684
"Juice, pomegranate","pomegranate",0.872881766170357,"tfidf",151,"FOOD00151","Pomegranate","181",8433
"Plums, dried (prunes)","prune dried plum",1,"tfidf",147,"FOOD00147","European plum","0280",1224
"Juice, strawberry","juice strawberry",1,"tfidf",83,"FOOD00083","Strawberry","",8874
"Cheese, ricotta","cheese ricotta whole milk",0.837415762450346,"tfidf",631,"FOOD00617","Cheese","01036",4766
"Spices, cinnamon","spices cinnamon ground",0.824695664411767,"tfidf",50,"FOOD00050","Chinese cinnamon","02010",568
"Mustard greens, cooked","mustard greens",0.944672927286686,"tfidf",27,"FOOD00027","Chinese mustard","171",19
"Plums, dried (prunes), cooked","prune dried plum",0.964368557686744,"tfidf",147,"FOOD00147","European plum","0280",1224
"Onions, cooked","onion",0.88845959847382,"tfidf",226,"FOOD00226","Garden onion (var.)","53",2
"Peppers, sweet/bell, raw","bell pepper",0.843906985502809,"tfidf",40,"FOOD00040","Pepper","207",26
"Blackberries, cooked","blackberry",0.922284317028834,"tfidf",160,"FOOD00160","Rubus (Blackberry, Raspberry)","80",8354
"Turnips, canned","turnip",0.880931876537949,"tfidf",36,"FOOD00036","Turnip","",9548
"Flour, rice, brown","rice flour brown",1,"tfidf",125,"FOOD00125","Rice","20090",974
"Mustard greens, canned","mustard greens",0.916397002998272,"tfidf",27,"FOOD00027","Chinese mustard","171",19
"Protein, soy isolate","soy protein isolate",1,"tfidf",272,"FOOD00271","Other soy product","16122",2157
"Strawberries, canned (strawberries only)","strawberries canned",0.967847679505136,"tfidf",83,"FOOD00083","Strawberry","0466",754
"Bamboo shoots, canned/cooked","bamboo shoots",0.916032542166695,"tfidf",298,"FOOD00297","Bamboo shoots","",9563
"Fish, flatfish, raw","fish flatfish flounder sole species raw",0.612320821073766,"tfidf",548,"FOOD00535","Flatfish","15028",3992
"Cheese, queso anejo","cheese mexican queso anejo",0.872148559054996,"tfidf",631,"FOOD00617","Cheese","01165",4779
"Egg, quail, canned","egg quail whole fresh raw",0.765788643941287,"tfidf",633,"FOOD00619","Eggs","01140",4868
"Fish, barracuda, cooked","fishes",0.840606316644728,"tfidf",896,"FOOD00865","Fishes","",9850
"Blackberries, raw/frozen","blackberries frozen",0.944011796423964,"tfidf",933,"FOOD00901","Evergreen blackberry","",9196
"Leavening agents, cream of tartar","leavening agents cream of tartar",1,"tfidf",682,"FOOD00661","Leavening agent","18373",5731
"Beans, green/snap, raw/canned/cooked","beans snap green raw",0.90493255064265,"tfidf",134,"FOOD00134","Common bean","11052",1044
"Flour, amaranth","amaranth",0.829566860565281,"tfidf",289,"FOOD00288","Amaranth","",9713
"Tofu","tofu",1,"tfidf",718,"FOOD00696","Tofu","",9826
"Nectarines, cooked","nectarine",0.938087828956234,"tfidf",229,"FOOD00229","Nectarine","",9674
"Sweet potatoes, dehydrated","sweet potato",0.70568608076787,"tfidf",92,"FOOD00092","Sweet potato","501",64
"Figs, dried","fig dried",1,"tfidf",81,"FOOD00081","Fig","0052",740
"Fish, ocean perch, cooked","fish ocean perch atlantic raw",0.832676124629502,"tfidf",295,"FOOD00294","Painted comber","15057",2389
"Cheese, cream","cheese cream",1,"tfidf",631,"FOOD00617","Cheese","01017",4747
"Cheese, queso fresco","cheese fresh queso fresco",0.945243859540382,"tfidf",631,"FOOD00617","Cheese","01228",4790
"Beans, pinto, mature, cooked","beans pinto mature seeds raw",0.849100112322863,"tfidf",134,"FOOD00134","Common bean","16042",1100
"Gelatin, dry powder, unsweetened","gelatins dry powder unsweetened",1,"tfidf",750,"FOOD00725","Gelatin dessert","19177",7256
"Juice, pineapple","pineapple juice canned",0.900366331107009,"tfidf",12,"FOOD00012","Pineapple","0833",260
"Pineapple, dried","pineapple",0.791019313186666,"tfidf",12,"FOOD00012","Pineapple","74",5
"Nuts, almonds, unroasted","nuts almonds",0.655962390306408,"tfidf",148,"FOOD00148","Almond","12061",1243
"Basil, fresh","basil fresh",1,"tfidf",119,"FOOD00119","Sweet basil","02044",933
"Cauliflower, canned/cooked","cauliflower",0.83301075790248,"tfidf",31,"FOOD00031","Cauliflower","",9045
"Nopales, cooked","nopales raw",0.905157715091526,"tfidf",423,"FOOD00416","Nopal","11963",2719
"Tomato puree, cooked","tomato puree",0.951281845206752,"tfidf",171,"FOOD00171","Garden tomato","0310",1370
"Cheese, brie","cheese brie",1,"tfidf",631,"FOOD00617","Cheese","01006",4736
"Beans, white, mature, canned/cooked","beans white mature seeds canned",0.845003572991744,"tfidf",134,"FOOD00134","Common bean","16051",1109
"Nuts, pine, dried","nuts pine nuts dried",0.946649660959691,"tfidf",138,"FOOD00138","Pine nut","12147",1140
"Cheese, cotija","cheese",1,"tfidf",631,"FOOD00617","Cheese","",9811
"Cheese. Oaxaca","cheese",1,"tfidf",631,"FOOD00617","Cheese","",9811
"Salt","salt table",0.512845283350968,"tfidf",666,"FOOD00647","Salt","0388",5486
"Waterchestnuts, canned/cooked","waterchestnuts chinese canned solids liquids",0.688178423668441,"tfidf",337,"FOOD00332","Chinese water chestnut","11590",2481
"Dandelion greens, cooked","dandelion greens raw",0.918723370769909,"tfidf",181,"FOOD00181","Dandelion","11207",1514
"Eggplant, raw","eggplant raw",1,"tfidf",174,"FOOD00174","Eggplant","11209",1400
"Crustaceans, crab, canned","crustaceans crab blue canned",0.838160305933058,"tfidf",306,"FOOD00303","Blue crab","15141",2414
"Peas, green, mature (split), canned","peas green split mature seeds raw",0.869748799761815,"tfidf",141,"FOOD00141","Common pea","",8758
"Fish, herring, raw","herring raw",0.852644916592421,"tfidf",531,"FOOD00520","Clupeinae (Herring, Sardine, Sprat)","0246",3906
"Eggplant, cooked","eggplant",0.929562713269887,"tfidf",174,"FOOD00174","Eggplant","",9511
"Potatoes, canned","potato canned",1,"tfidf",175,"FOOD00175","Potato","0836",1410
"Sweet potatoes, cooked","sweet potato",0.922667032067075,"tfidf",92,"FOOD00092","Sweet potato","501",64
"Spices, poppy seed","spices poppy seed",1,"tfidf",447,"FOOD00438","Opium poppy","02033",2760
"Papayas, dried","papaya",0.852328501773135,"tfidf",41,"FOOD00041","Papaya","209",27
"Nuts, pecans, unroasted","nuts pecans",0.683272885121277,"tfidf",44,"FOOD00044","Pecan nut","12142",545
"Spices, ginger","spices ginger ground",0.863304905532017,"tfidf",206,"FOOD00206","Ginger","02021",1665
"Beans, soy, mature, dried","beans soy dried",0.861041450967892,"tfidf",85,"FOOD00085","Soy bean","0032",764
"Onions, green/spring/scallions, raw","onions spring raw",0.893054183547957,"tfidf",241,"FOOD00241","Welsh onion","0663",225
"Grapes, raw","grape raw",1,"tfidf",374,"FOOD00369","Grape","0329",2581
"Apricots, dried, cooked","apricot dried",0.938024146494762,"tfidf",144,"FOOD00144","Apricot","0001",1187
"Squash, summer, canned/cooked","summer squash",0.884605417773105,"tfidf",66,"FOOD00066","Cucurbita","328",47
"Cress, canned/cooked","garden cress",0.664298726733964,"tfidf",99,"FOOD00099","Garden cress","556",70
"Parsnips, cooked","parsnip",0.941897482455897,"tfidf",129,"FOOD00129","Parsnip","702",87
"Taro leaves, cooked","taro leaves raw",0.912954948336836,"tfidf",499,"FOOD00488","Taro","11520",2897
"Tomato sauce, canned","tomato products canned sauce",0.84940983272343,"tfidf",665,"FOOD00646","Sauce","11549",5463
"Nuts, brazilnuts, roasted/heat-treated","nuts brazilnuts dried unblanched",0.49802540008754,"tfidf",24,"FOOD00024","Brazil nut","12078",355
"Celery, canned","celery",0.874420479728044,"tfidf",215,"FOOD00215","Celery stalks","96",8
"Seaweed, kelp, cooked","seaweed kelp raw",0.93944770228313,"tfidf",396,"FOOD00391","Kelp","11445",2661
"Peaches, canned (peaches only)","peach canned",0.968425196680194,"tfidf",149,"FOOD00149","Peach","0050",1253
"Veal, variety meat, thymus, cooked","veal variety meats by products thymus cooked braised",0.812871162526456,"tfidf",506,"FOOD00495","Cattle (Beef, Veal)","17219",3424
"Wheat, sprouted, uncooked","wheat sprouted",0.758234430555685,"tfidf",575,"FOOD00561","Wheat","20087",4506
"Figs, canned (figs only)","fig",0.970268208686556,"tfidf",81,"FOOD00081","Fig","",9538
"Juice, kale","kale",0.85735005524772,"tfidf",395,"FOOD00390","Kale","",9738
"Loganberries, raw/frozen","loganberries frozen",0.958668409792423,"tfidf",405,"FOOD00400","Loganberry","0628",2684
"Wine, table, rose","wine table rose",1,"tfidf",952,"FOOD00920","Rosé wine","",9449
"Cheese, port du salut","cheese port de salut",0.875166344168154,"tfidf",631,"FOOD00617","Cheese","01034",4764
"Mushrooms, canned/cooked","mushroom canned",0.920375182460051,"tfidf",561,"FOOD00547","Common mushroom","0171",4454
"Taro, cooked","taro",0.928395672346731,"tfidf",499,"FOOD00488","Taro","297",201
"Beans, great northern, mature, canned","beans great northern mature seeds canned",0.947350665655227,"tfidf",134,"FOOD00134","Common bean","16026",1084
"Olives, green, pickled","olives green pickled canned",0.949084450951472,"tfidf",121,"FOOD00121","Olive","0203",936
"Fish, flatfish, cooked","fish flatfish flounder sole species cooked dry heat",0.569731565548655,"tfidf",548,"FOOD00535","Flatfish","15029",3993
"Orange peel, raw","oranges raw with peel",1,"tfidf",57,"FOOD00057","Sweet orange","09205",598
"Juice, acerola","acerola juice raw",0.959963275645278,"tfidf",282,"FOOD00281","Acerola","09002",2350
"Seaweed, laver, cooked","seaweed laver raw",0.94303988662441,"tfidf",563,"FOOD00549","Purple laver","11446",4473
"Spices, basil, dried","spices basil dried",1,"tfidf",119,"FOOD00119","Sweet basil","02003",932
"Pears, raw","pear raw",1,"tfidf",152,"FOOD00152","Pear","0214",1281
"Mangoes, raw/frozen","mangos raw",0.898262434808478,"tfidf",106,"FOOD00106","Mango","0523",916
"Brussels sprouts, raw","brussels sprouts raw",1,"tfidf",32,"FOOD00032","Brussel sprouts","0225",416
"Spices, allspice","spices allspice ground",0.880915110644945,"tfidf",288,"FOOD00287","Allspice","02001",2370
"Bananas, raw","banana raw",1,"tfidf",208,"FOOD00208","Banana","0014",1666
"Juice, beet","beet",0.84774800545775,"tfidf",264,"FOOD00264","Red beetroot","157",143
"Egg, goose, cooked","egg goose whole raw",0.830635607009933,"tfidf",633,"FOOD00619","Eggs","1034",4845
"Spices, cloves","spices cloves ground",0.876555311519962,"tfidf",179,"FOOD00179","Cloves","02011",1509
"Flour, arrowroot","arrowroot flour",1,"tfidf",291,"FOOD00290","Arrowroot","20003",2380
"Beets, raw","beets raw",1,"tfidf",25,"FOOD00025","Common beet","11080",356
"Mangoes, canned (mangoes only)","mango",0.973335099552256,"tfidf",106,"FOOD00106","Mango","600",74
"Apricots, cooked","apricot",0.907090288782201,"tfidf",144,"FOOD00144","Apricot","787",99
"Flour, barley malt","barley malt flour",1,"tfidf",88,"FOOD00088","Barley","20131",829
"Guava, raw","guava",0.932860494336285,"tfidf",150,"FOOD00150","Guava","796",104
"Litchis/lychees, canned/cooked (litchis only)","litchis raw",0.842257957408226,"tfidf",103,"FOOD00103","Lichee","09164",882
"Kale, raw","kale raw",1,"tfidf",395,"FOOD00390","Kale","11233",392
"Juice, spinach","spinach",0.829191390969694,"tfidf",178,"FOOD00178","Spinach","957",124
"Crustaceans, shrimp, cooked","crustaceans shrimp raw",0.918299778099842,"tfidf",546,"FOOD00533","Shrimp","",9426
"Kumquats, canned/cooked (kumquats only)","kumquat",0.966703390297145,"tfidf",398,"FOOD00393","Kumquat","",9602
"Potatoes, raw","potato raw",1,"tfidf",175,"FOOD00175","Potato","0115",1413
"Fish, herring, smoked","herring smoked",0.893165292008162,"tfidf",531,"FOOD00520","Clupeinae (Herring, Sardine, Sprat)","0245",3908
"Cheese, queso chihuahua","cheese mexican queso chihuahua",0.872148559054996,"tfidf",631,"FOOD00617","Cheese","01167",4781
"Beans, lima, immature, raw","lima beans immature seeds raw",0.924099512914412,"tfidf",133,"FOOD00133","Lima bean","11031",1011
"Beans, pink, mature, cooked","beans pink mature seeds raw",0.84244438642997,"tfidf",134,"FOOD00134","Common bean","16040",1098
"Juice, guava","guava",0.855255488996129,"tfidf",150,"FOOD00150","Guava","796",104
"Seaweed, spirulina, dried","seaweed spirulina dried",1,"tfidf",490,"FOOD00480","Spirulina","11667",2882
"Coffee beans/grounds/instant powder","coffee instant powder",1,"tfidf",58,"FOOD00058","Coffee","0104",611
"Egg, yolk, cooked","egg yolk",0.950767666898495,"tfidf",951,"FOOD00919","Egg yolk","",9890
"Tomato paste","tomato paste concentrated",0.787323854934208,"tfidf",171,"FOOD00171","Garden tomato","0311",1369
"Juice, blueberry","blueberry",0.800178705348927,"tfidf",191,"FOOD00191","Highbush blueberry","1038",133
"Peas, green, mature (split), cooked","peas green split mature seeds raw",0.884659614679516,"tfidf",141,"FOOD00141","Common pea","",8758
"Soy sauce","soy sauce",1,"tfidf",716,"FOOD00694","Soy sauce","950",8615
"Tangerine/clementine/mandarin orange, frozen/canned (oranges only)","mandarin orange clementine tangerine",0.9148791551147,"tfidf",56,"FOOD00056","Mandarin orange (Clementine, Tangerine)","",9499
"Seeds, chia","chia seeds raw",0.959879462674017,"tfidf",333,"FOOD00328","Chia","",8967
"Spices, garlic powder","spices garlic powder",1,"tfidf",8,"FOOD00008","Garlic","02020",248
"Tangerine/clementine/calamondin/mandarin orange, canned/cooked (oranges only)","mandarin orange clementine tangerine",0.925238667222603,"tfidf",56,"FOOD00056","Mandarin orange (Clementine, Tangerine)","",9499
"Cabbage, savoy, cooked","savoy cabbage",0.961156391254258,"tfidf",2,"FOOD00002","Savoy cabbage","",9630
"Cucumber, raw","cucumber raw",1,"tfidf",65,"FOOD00065","Cucumber","0002",642
"Squash, winter, cooked","winter squash",0.950442680093708,"tfidf",284,"FOOD00283","Winter squash","",9555
"Spices, pepper, white","pepper spice [white]",1,"tfidf",139,"FOOD00139","Pepper (Spice)","846",8480
"Fish, tuna, raw","tuna raw",0.855085518932957,"tfidf",621,"FOOD00607","Thunnus","0321",4604
"Goose, lean and fat, cooked","fat goose",0.887471651577402,"tfidf",704,"FOOD00682","Other animal fat","04576",6801
"Crab, cooked","crab boiled",0.795748594635667,"tfidf",587,"FOOD00573","Crab","0128",4543
"Avocado, raw","avocado raw",1,"tfidf",130,"FOOD00130","Avocado","0011",1001
"Okra, cooked","okra",0.938087828956234,"tfidf",427,"FOOD00420","Okra","1",184
"Currants, dried","currants dried",1,"tfidf",204,"FOOD00204","Common grape","",8735
"Beans, lima, immature, canned","lima beans immature seeds raw",0.83885446734711,"tfidf",133,"FOOD00133","Lima bean","11031",1011
"Leavening agents, baking soda","leavening agents baking soda",1,"tfidf",682,"FOOD00661","Leavening agent","18372",5730
"Goat, lean and fat, cooked","goat raw",0.781245007887202,"tfidf",541,"FOOD00529","Domestic goat","17168",3959
"Pimento","pimento canned",0.923808245890475,"tfidf",40,"FOOD00040","Pepper","11943",521
"Cheese, cheddar, dried","cheese cheddar",0.859637965633625,"tfidf",631,"FOOD00617","Cheese","01009",4739
"Radicchio, raw","radicchio raw",1,"tfidf",49,"FOOD00049","Chicory","11952",567
"Egg, whole, raw","egg whole raw frozen",0.878941627157703,"tfidf",633,"FOOD00619","Eggs","01171",4871
"Cheese, cream, low fat","cheese cream low fat",1,"tfidf",631,"FOOD00617","Cheese","43274",4800
"Taro, dehydrated","taro",0.720815548097917,"tfidf",499,"FOOD00488","Taro","297",201
"Milk, buttermilk, whole, fluid","milk buttermilk fluid whole",1,"tfidf",714,"FOOD00692","Buttermilk","01230",6863
"Pokeberry shoots (poke), cooked","pokeberry shoots poke raw",0.96040221750624,"tfidf",445,"FOOD00437","American pokeweed","11350",2757
"Beans, green/snap, cooked","beans snap green raw",0.917573736716189,"tfidf",134,"FOOD00134","Common bean","11052",1044
"Rice, brown, uncooked (consumed cooked/heat-treated)","rice brown raw",0.491736791349609,"tfidf",125,"FOOD00125","Rice","0221",949
"Beans, kidney, mature, canned","beans kidney all types mature seeds canned",0.780664476570498,"tfidf",134,"FOOD00134","Common bean","16029",1087
"Hearts of palm, cooked","hearts of palm raw",0.932869617396527,"tfidf",743,"FOOD00718","Heart of palm","",9440
"Tomato sauce, canned/cooked","tomato products canned sauce",0.800506956088749,"tfidf",665,"FOOD00646","Sauce","11549",5463
"Juice, parsley","parsley",0.869815871510509,"tfidf",131,"FOOD00131","Parsley","712",89
"Squash, summer, raw","summer squash",0.953386918237416,"tfidf",66,"FOOD00066","Cucurbita","328",47
"Juice, lime","lime juice raw",0.94895943630413,"tfidf",557,"FOOD00543","Persian lime","09160",4448
"Juice, garlic","garlic",0.838343344716455,"tfidf",880,"FOOD00850","Soft-necked garlic","54",216
"Mollusks, conch, cooked","mollusks conch baked broiled",0.802394824021367,"tfidf",625,"FOOD00611","Conch","15250",4615
"Miso, cooked","miso",0.944137712599099,"tfidf",717,"FOOD00695","Miso","16112",6873
"Dandelion greens, raw","dandelion greens raw",1,"tfidf",181,"FOOD00181","Dandelion","11207",1514
"Spices, onion powder","spices onion powder",1,"tfidf",226,"FOOD00226","Garden onion (var.)","02026",226
"Flour, wheat, refined","common wheat refined flour",0.859343854222936,"tfidf",187,"FOOD00187","Common wheat","226",8465
"Tangerine/clementine/calamondin/mandarin orange, raw","mandarin orange clementine tangerine",0.982984006362967,"tfidf",56,"FOOD00056","Mandarin orange (Clementine, Tangerine)","",9499
"Melon, honeydew, raw","melon honeydew raw",1,"tfidf",64,"FOOD00064","Muskmelon","0642",633
"Cheese, fontina","cheese fontina",1,"tfidf",631,"FOOD00617","Cheese","01020",4750
"Apricots, raw","apricot raw",1,"tfidf",144,"FOOD00144","Apricot","0626",1188
"Pears, cooked","pear",0.882425489636571,"tfidf",152,"FOOD00152","Pear","826",106
"Quinoa, uncooked (consumed cooked/heat-treated)","quinoa uncooked",0.724297991532003,"tfidf",450,"FOOD00441","Quinoa","20035",2765
"Cheese, muenster, reduced fat","cheese muenster",0.845234333609231,"tfidf",631,"FOOD00617","Cheese","01030",4760
"Apples, dried, cooked","apple dried",0.922831363129178,"tfidf",105,"FOOD00105","Apple","0338",887
"Garlic, cooked","garlic",0.91881850267532,"tfidf",880,"FOOD00850","Soft-necked garlic","54",216
"Lemons, cooked","lemon",0.897100314575567,"tfidf",54,"FOOD00054","Lemon","279",38
"Mustard greens, raw","mustard greens raw",1,"tfidf",27,"FOOD00027","Chinese mustard","11270",370
"Deer, lean and fat, dried","deer",0.762294622416642,"tfidf",535,"FOOD00524","Deer","",9862
"Figs, dried, cooked","fig dried",0.948890868207204,"tfidf",81,"FOOD00081","Fig","0052",740
"Juice, blackberry","juice blackberry",1,"tfidf",160,"FOOD00160","Rubus (Blackberry, Raspberry)","",8849
"Tea, black, instant powder","black tea",0.74074791589631,"tfidf",939,"FOOD00907","Black tea","",9876
"Cabbage, mustard, cooked","cabbage mustard salted",0.768944166195545,"tfidf",27,"FOOD00027","Chinese mustard","43144",376
"Sweet potato leaves, cooked","sweet potato leaves raw",0.908703343385658,"tfidf",92,"FOOD00092","Sweet potato","11505",834
"Fish, sea bass, raw","fish sea bass mixed species raw",0.835350908267999,"tfidf",537,"FOOD00526","Percoidei (Bass and others)","15091",3948
"Peas, edible-podded, raw","peas edible podded raw",1,"tfidf",141,"FOOD00141","Common pea","11300",1155
"Mollusks, snails, cooked","mollusks snail raw",0.936385872949589,"tfidf",617,"FOOD00603","Snail","90560",4596
"Tamarind, dried","tamarind",0.863520244859348,"tfidf",180,"FOOD00180","Tamarind","",9501
"Juice, cucumber","cucumber",0.851345720342117,"tfidf",65,"FOOD00065","Cucumber","325",46
"Cheese, brick","cheese brick",1,"tfidf",631,"FOOD00617","Cheese","01005",4735
"Broccoli, Chinese, cooked","broccoli chinese cooked",1,"tfidf",335,"FOOD00330","Chinese broccoli","11969",2475
"Grapefruit, raw","grapefruit raw",1,"tfidf",256,"FOOD00256","Grapefruit","0059",1698
